x	y	cluster	source
107	52.5989914040882	115.378113042349	1	Dataframe 1
108	53.5256583509747	118.158113883008	1	Dataframe 1
109	53.5343080076259	118.182019142506	1	Dataframe 1
110	53.5441615302196	118.20545386214	1	Dataframe 1
111	53.5551934462967	118.228357460536	1	Dataframe 1
112	53.5673752371189	118.250670729328	1	Dataframe 1
113	53.5806754113929	118.272335986218	1	Dataframe 1
114	53.5950595866792	118.293297224091	1	Dataframe 1
115	53.610490578274	118.3135002558	1	Dataframe 1
116	53.6269284953363	118.332892854246	1	Dataframe 1
117	53.64433084401	118.35142488739	1	Dataframe 1
118	53.6626526372752	118.369048447853	1	Dataframe 1
119	53.6818465112449	118.385717976756	1	Dataframe 1
120	53.7018628476059	118.401390381502	1	Dataframe 1
